,length_vas,length_oggm,area_vas,area_oggm,volume_vas,volume_oggm
1991,4293.1205090398635,5500.0,6390268.080588183,7052273.239938184,417935199.2999837,571799598.8194577
1992,4289.720315041161,5600.0,6374787.678048725,7032365.830717051,412886835.9764886,562490316.862586
1993,4286.042446641562,5500.0,6357952.176171891,7012954.60447751,409780373.3869737,555247142.13699
1994,4282.462266065857,5600.0,6342345.032323162,7001813.960289272,410088239.28045976,554828828.4510902
1995,4278.794853632347,5500.0,6326566.186288417,6982311.716979532,408357255.2792506,549336638.3558519
1996,4275.215050786025,5500.0,6311858.301313816,6971704.419749067,408459370.2782056,548647611.3944452
1997,4271.308292222113,5400.0,6295284.761789814,6956067.127058836,404456016.0947304,542192641.813221
1998,4267.3085269893245,5500.0,6278621.039970286,6942371.987848939,402995664.9066485,538084964.4289114
1999,4263.060323636067,5400.0,6260734.937103003,6926323.733848327,399820568.7978453,532225444.5329598
2000,4258.7759803182125,5500.0,6243168.479690641,6909583.280301982,398768779.7096357,527770736.9261986
2001,4254.330670048975,5300.0,6224985.85256915,6884694.707066043,396335456.8122524,522518369.69356704
2002,4250.419376120177,5400.0,6210998.529085418,6881113.565145444,400497973.28663844,525635370.3312893
2003,4246.096299169866,5300.0,6194343.365552726,6858743.258351879,395300267.7585055,516370120.45904505
2004,4241.059996674561,5400.0,6173385.000765351,6826782.998325935,388184260.8582725,500771120.44152176
2005,4235.978441752716,5300.0,6152920.18966677,6810651.162262581,387386810.16717577,496921538.7275362
2006,4230.749755982611,5200.0,6132002.404979249,6789480.868923726,384918641.3467312,493685672.20517224
2007,4225.032695034112,5300.0,6108388.556916562,6762618.032644428,379565082.5710156,482928779.8099872
2008,4218.974736668998,5200.0,6083305.32421224,6738815.705994607,375869658.3112394,477463871.82143515
2009,4212.68450974946,5300.0,6057477.5960969515,6714383.796406778,372877578.37096083,472161830.6558176
2010,4205.967731458597,5200.0,6029586.298862849,6687535.60078997,368081049.9490956,463282259.94770277
2011,4199.204164412688,5100.0,6002361.44117553,6673931.358007899,366779264.86838967,459206957.89658856
2012,4192.143394776193,5200.0,5973901.262134052,6651377.694890789,362798107.5712949,450898696.0849177
2013,4184.276264581668,5100.0,5940968.409240519,6616160.184365579,354947906.0284793,437848885.0303664
2014,4175.998565790704,5100.0,5906635.366343371,6588400.835375344,351060068.90127367,429925803.0782204
